customer_id,feedback,fecha,canal
C-DEMO-010,"El precio de mi plan subió veinte pesos sin que me avisaran. Cuando llamé me dijeron que fue un ajuste por inflación. Entiendo el contexto pero deberían notificarlo con anticipación. La atención fue buena.",2026-04-11,encuesta
C-DEMO-011,"Hice una devolución de un producto defectuoso y fue muy sencillo. Generé el ticket online, vinieron a buscar el paquete y en cuatro días ya tenía el crédito en mi cuenta. Así debería funcionar siempre.",2026-04-12,reseña
C-DEMO-012,"La fibra óptica funciona perfecta desde que la instalaron hace dos meses. La velocidad es constante y nunca tuvimos cortes. El técnico que vino fue muy prolijo y explicó todo bien. Muy conforme.",2026-04-13,encuesta
C-DEMO-013,"Compré unos zapatos y me llegaron talla diferente a la que pedí. Pedir el cambio fue complicado porque el formulario de devoluciones no funcionaba bien en el celular. Al final lo resolví pero no debería ser tan difícil.",2026-04-14,email
C-DEMO-014,"Perdí la señal de TV durante el partido del domingo. Llamé y me dijeron que era un problema de la zona. Esperé cuatro horas y no volvió sola, tuve que reiniciar el decodificador yo mismo. Mala experiencia.",2026-04-15,chat
C-DEMO-015,"La app del servicio es increíble. Puedo ver mi consumo en tiempo real, pagar la factura, reportar problemas y chatear con soporte, todo desde el celular. La experiencia digital es de primer nivel.",2026-04-16,reseña
C-DEMO-016,"Hice un pedido de productos electrónicos por más de dos mil pesos y todo llegó perfectamente embalado, con garantía activa y en el tiempo prometido. La plataforma es confiable y volvería a comprar.",2026-04-17,reseña
C-DEMO-017,"La cobertura en el interior del país es nula. Viajé por trabajo y no tenía señal en ningún momento. Para una empresa grande es completamente inaceptable no tener cobertura nacional básica.",2026-04-19,encuesta
C-DEMO-018,"Compré una bicicleta estática y el armado fue complicado porque las instrucciones estaban en inglés. El producto en sí es bueno pero esperaba instrucciones en español y tal vez un servicio de armado disponible.",2026-04-20,email
C-DEMO-019,"La agente que me atendió, Valeria, fue excepcional. Resolvió en diez minutos un problema de facturación que llevaba dos meses arrastrando. Empática, eficiente y con conocimiento técnico. Merece reconocimiento.",2026-04-21,chat
C-DEMO-020,"Me llegó un cargo no autorizado de trescientos pesos en mi factura. Nadie sabe explicarme de dónde salió. Si no me lo devuelven voy a publicar esto en redes sociales y hacer la denuncia correspondiente.",2026-04-22,chat
C-DEMO-021,"Primera compra en el sitio y todo perfecto. La descripción del producto era precisa, el precio competitivo y llegó antes de lo esperado. Ganaron un cliente fiel, ya estoy mirando el próximo pedido.",2026-04-23,reseña
C-DEMO-022,"La instalación del servicio fue un caos. El técnico llegó dos horas tarde, sin herramientas, y tuve que prestarle una escalera. Al día siguiente el servicio no funcionaba y tuve que llamar otra vez.",2026-04-24,email
C-DEMO-023,"Muy conforme con la velocidad de descarga desde que me pasé al plan de fibra. Las videollamadas de trabajo ya no se cortan. El soporte que me guió en la migración fue muy paciente y profesional.",2026-04-25,encuesta
C-DEMO-024,"Pedí la devolución de un juego de ropa de cama porque el color no era el mismo que en las fotos. El proceso fue rápido y sin dramas. Eso me genera confianza para seguir comprando sin miedo.",2026-04-26,email
C-DEMO-025,"Hay interferencia en mi línea fija desde hace una semana. El técnico vino, revisó y dijo que el problema estaba en la calle, que lo iban a resolver en tres días. Ya pasó más de una semana y sigue igual.",2026-04-27,chat
C-DEMO-026,"El servicio de streaming incluido en mi plan tiene una calidad de imagen impresionante. No esperaba que viniera incluido y es un valor agregado muy bueno. Estoy muy conforme con el paquete completo.",2026-04-01,encuesta
C-DEMO-027,"Me enviaron el pedido a una dirección incorrecta. Yo puse bien mi dirección, el error fue de ellos. Tardaron cuatro días en reenviar el paquete y nunca me dieron una explicación del error. Decepcionante.",2026-04-03,email
C-DEMO-028,"Llevo dos años como cliente y siempre fui bien atendido. Cuando tuve un problema con el router me lo cambiaron sin costo dentro del período de garantía. Ese tipo de respuesta es lo que genera fidelidad real.",2026-04-05,encuesta
C-DEMO-029,"El precio del plan es competitivo. La velocidad es buena de día. A veces hay caídas nocturnas pero son cortas. En general estoy conforme aunque esperaba un poco más de estabilidad en horario pico.",2026-04-07,encuesta
C-DEMO-030,"Compré un perfume que llegó sin caja, directamente en un sobre acolchado. El frasco llegó intacto pero es un regalo y quedó muy mal para presentar. Falta cuidado en el embalaje para productos de regalo.",2026-04-09,reseña
C-DEMO-031,"El soporte técnico resolvió mi problema en la primera llamada, sin transferirme a otras áreas. El agente sabía exactamente qué hacer y fue amable durante todo el proceso. Ojalá siempre fuera así.",2026-04-11,chat
C-DEMO-032,"Recibí un producto vencido en mi pedido de supermercado. Al abrirlo el olor era muy fuerte y me sentí mal. Llamé al soporte y solo me ofrecieron un crédito. Esto es un riesgo de salud que deben revisar urgente.",2026-04-13,chat
C-DEMO-033,"Me cambiaron el plan sin consultarme y me quitaron canales que venían en el paquete original. Cuando llamé me dijeron que fue una actualización. Modificar un contrato sin consentimiento no es legal y voy a reclamarlo.",2026-04-15,email
C-DEMO-034,"La página web de la tienda es muy intuitiva. Filtros claros, fotos de calidad, descripción completa de cada producto. Encontré lo que buscaba en dos minutos y el checkout fue rápido. Muy buena experiencia.",2026-04-17,reseña
C-DEMO-035,"El técnico que vino a instalar el servicio fue muy profesional. Llegó a horario, usó cubre calzado en casa, explicó todo claramente y me enseñó a usar la app de control. Un diez en atención al cliente.",2026-04-19,encuesta
C-DEMO-036,"Tardaron cuarenta días en procesar mi reembolso por una devolución. Tuve que llamar seis veces para que lo procesaran. La plata estuvo retenida injustificadamente por más de un mes. Nunca más compro acá.",2026-04-21,email
C-DEMO-037,"Excelente atención postventa. Tuve un problema con la garantía de un auricular bluetooth y lo resolvieron sin hacerme preguntas. Me enviaron uno nuevo en dos días. Así se fideliza a un cliente de verdad.",2026-04-23,reseña
C-DEMO-038,"La velocidad de internet baja mucho en los horarios pico, de ocho a diez de la noche la conexión es casi inutilizable. De día funciona bien pero para streaming en familia necesitaría un plan mejor.",2026-04-25,encuesta
C-DEMO-039,"Hice un pedido de electrodomésticos y todo llegó perfecto, bien protegido con esquineros de cartón. El delivery fue cuidadoso y el horario de entrega muy puntual. Recomendaría a cualquier persona.",2026-04-27,reseña
C-DEMO-040,"Me llegó una notificación de deuda de una factura que ya había pagado hace un mes. Tuve que ir personalmente a la sucursal con el comprobante. Una hora perdida por un error de ellos. Pésimo sistema.",2026-04-02,email
C-DEMO-041,"El producto es bueno pero la garantía extendida que ofrecen en el checkout es un engaño. Cuando quise usarla me dijeron que el desperfecto no estaba cubierto. La letra chica es muy engañosa y abusiva.",2026-04-06,reseña
C-DEMO-042,"La instalación del servicio fue rápida y el técnico fue muy simpático y eficiente. Tengo buena velocidad y el precio es justo para lo que incluye. Cambié de empresa hace tres meses y no me arrepiento para nada.",2026-04-10,encuesta
C-DEMO-043,"Compré tres libros y llegaron en perfecto estado, bien envueltos individualmente en papel burbuja. La selección de títulos en la plataforma es muy amplia. Ya tengo ganas de hacer el próximo pedido.",2026-04-14,reseña
C-DEMO-044,"El servicio de atención al cliente por WhatsApp es muy lento. A veces tardan horas en responder y cuando lo hacen no tienen la información completa. Para consultas urgentes este canal no sirve.",2026-04-18,chat
C-DEMO-045,"Me atendieron de maravilla cuando reporté que el paquete llegó aplastado. Me enviaron otro producto el mismo día sin costo adicional y sin preguntas. Eso es compromiso real con el cliente. Muy conforme.",2026-04-26,reseña
